,Ped South,Ped North,Bike South,Bike North,Total
2014-07-23,-133.73333333333332,-90.0,-772.0666666666667,-807.1555555555556,-1802.9555555555557
2014-07-24,-88.73333333333332,-73.0,-587.0666666666667,-628.1555555555556,-1376.9555555555557
2014-07-25,-33.73333333333332,-27.0,-25.06666666666672,-100.15555555555557,-185.95555555555575
2014-07-26,40.26666666666668,63.0,417.9333333333333,373.84444444444443,895.0444444444443
2014-07-27,58.26666666666668,36.0,427.9333333333333,446.84444444444443,969.0444444444443
2014-07-28,-7.73333333333332,21.0,-16.06666666666672,-0.15555555555556566,-2.9555555555557476
2014-07-29,26.26666666666668,14.0,66.93333333333328,18.844444444444434,126.04444444444425
2014-07-30,-0.7333333333333201,-7.0,-7.06666666666672,-23.155555555555566,-37.95555555555575
2014-07-31,-29.73333333333332,-8.0,-78.06666666666672,-110.15555555555557,-225.95555555555575
2014-08-01,-31.387096774193537,-14.129032258064512,-34.62903225806451,-131.48387096774195,-211.6290322580644
2014-08-02,53.61290322580646,16.870967741935488,226.3709677419355,188.51612903225805,485.3709677419356
2014-08-03,82.61290322580646,55.87096774193549,472.3709677419355,408.51612903225805,1019.3709677419356
2014-08-04,-15.387096774193537,1.8709677419354875,1.3709677419354875,-33.48387096774195,-45.6290322580644
2014-08-05,-0.3870967741935374,-1.1290322580645125,-37.62903225806451,-131.48387096774195,-170.6290322580644
2014-08-06,19.612903225806463,32.87096774193549,10.370967741935488,-9.48387096774195,53.3709677419356
2014-08-07,29.612903225806463,22.870967741935488,-33.62903225806451,-83.48387096774195,-64.6290322580644
2014-08-08,-14.387096774193537,-18.129032258064512,-24.629032258064512,-74.48387096774195,-131.6290322580644
2014-08-09,119.61290322580646,109.87096774193549,357.3709677419355,278.51612903225805,865.3709677419356
2014-08-10,59.61290322580646,43.87096774193549,327.3709677419355,411.51612903225805,842.3709677419356
2014-08-11,-36.38709677419354,-48.12903225806451,47.87096774193549,-198.48387096774195,-235.1290322580644
2014-08-12,-60.38709677419354,-37.12903225806451,-293.6290322580645,-356.48387096774195,-747.6290322580644
2014-08-13,-43.38709677419354,-47.12903225806451,-371.6290322580645,-450.48387096774195,-912.6290322580644
2014-08-14,-41.38709677419354,-19.129032258064512,-191.6290322580645,-287.48387096774195,-539.6290322580644
2014-08-15,-80.38709677419354,-38.12903225806451,-283.6290322580645,546.516129032258,144.3709677419356
2014-08-16,38.61290322580646,62.87096774193549,346.3709677419355,1197.516129032258,1645.3709677419356
2014-08-17,81.61290322580646,58.87096774193549,495.3709677419355,388.51612903225805,1024.3709677419356
2014-08-18,-7.387096774193537,-8.129032258064512,-63.62903225806451,-173.48387096774195,-252.6290322580644
2014-08-19,-28.387096774193537,-52.12903225806451,-16.629032258064512,-93.48387096774195,-190.6290322580644
2014-08-20,-27.387096774193537,-21.129032258064512,-142.6290322580645,-192.48387096774195,-383.6290322580644
2014-08-21,-62.38709677419354,-48.12903225806451,-133.6290322580645,-239.48387096774195,-483.6290322580644
2014-08-22,-5.387096774193537,-27.129032258064512,-131.6290322580645,-164.48387096774195,-328.6290322580644
2014-08-23,37.61290322580646,56.87096774193549,228.3709677419355,401.51612903225805,724.3709677419356
2014-08-24,63.61290322580646,35.87096774193549,301.3709677419355,254.51612903225805,655.3709677419356
2014-08-25,-20.387096774193537,-22.129032258064512,-74.62903225806451,-91.48387096774195,-208.6290322580644
2014-08-26,-2.3870967741935374,-12.129032258064512,-18.629032258064512,-60.48387096774195,-93.6290322580644
2014-08-27,-25.387096774193537,-7.1290322580645125,-39.62903225806451,-51.48387096774195,-123.6290322580644
2014-08-28,-20.387096774193537,-24.129032258064512,-99.62903225806451,-160.48387096774195,-304.6290322580644
2014-08-29,-64.38709677419354,-52.12903225806451,-335.6290322580645,-446.48387096774195,-898.6290322580644
2014-08-30,-29.387096774193537,-17.129032258064512,-546.6290322580645,-613.483870967742,-1206.6290322580644
2014-08-31,30.612903225806463,15.870967741935488,59.37096774193549,-31.48387096774195,74.3709677419356
2014-09-01,104.5,83.66666666666666,716.4333333333333,688.4,1593.0
2014-09-02,-86.5,-79.33333333333334,-218.56666666666672,-260.6,-645.0
2014-09-03,-26.5,-7.333333333333343,-17.56666666666672,-31.600000000000023,-83.0
2014-09-04,-20.5,-32.33333333333334,7.43333333333328,28.399999999999977,-17.0
2014-09-05,-25.5,-26.333333333333343,98.43333333333328,87.39999999999998,134.0
2014-09-06,47.5,48.66666666666666,419.4333333333333,465.4,981.0
2014-09-07,136.5,72.66666666666666,522.4333333333333,621.4,1353.0
2014-09-08,-27.5,-14.333333333333343,-109.56666666666672,-92.60000000000002,-244.0
2014-09-09,-45.5,-30.333333333333343,-91.56666666666672,-93.60000000000002,-261.0
2014-09-10,-33.5,-31.333333333333343,-49.56666666666672,-45.60000000000002,-160.0
